Codepoint,Symbol,Classifier,LaTeX,
&#x30;,0,0,0,
&#x31;,1,1,1,
&#x32;,2,2,2,
&#x33;,3,3,3,
&#x34;,4,4,4,
&#x35;,5,5,5,
&#x36;,6,6,6,
&#x37;,7,7,7,
&#x38;,8,8,8,
&#x39;,9,9,9,
&#x2b;,+,pluslower,+,
&#x2d;,-,horzlinelower,-,
&#x3d;,=,eqlower,=,
&#x2265;,≥,geqlower,geq,
&#x3c;,<,ltlower,lt,
&#x3e;,>,gtlower,geq,
&#x2260;,≠,neqlower,neq,
&#x2264;,≤,less_than_or_equal,leq,
&#x222b;,∫,Integralupper,int,
&#x3a0;,Π,product,Pi,
&#x3a3;,Σ,summation,sum,
&#x221a;,√,sqrtlower,sqrt,
&#x5b;,[,lbracketlower,[,
&#x5d;,],rbracketlower,],
&#x28;,(,lparenlower,(,
&#x29;,),rparenlower,),
&#x221E;,∞,infinlower,infty,
&#x41;,A,Aupper,A,
&#x42;,B,Bupper,B,
&#x43;,C,Cupper,C,
&#x44;,D,Dupper,D,
&#x45;,E,Eupper,E,
&#x46;,F,Fupper,F,
&#x47;,G,Gupper,G,
&#x48;,H,Hupper,H,
&#x49;,I,Iupper,I,
&#x4a;,J,Jupper,J,
&#x4b;,K,Kupper,K,
&#x4c;,L,Lupper,L,
&#x4d;,M,Mupper,M,
&#x4e;,N,Nupper,N,
&#x4f;,O,Oupper,O,
&#x50;,P,Pupper,P,
&#x51;,Q,Qupper,Q,
&#x52;,R,Rupper,R,
&#x53;,S,Supper,S,
&#x54;,T,Tupper,T,
&#x55;,U,Uupper,U,
&#x56;,V,Vupper,V,
&#x57;,W,Wupper,W,
&#x58;,X,Xupper,X,
&#x59;,Y,Yupper,Y,
&#x5a;,Z,Zupper,Z,
&#x61;,a,alower,a,
&#x62;,b,blower,b,
&#x63;,c,clower,c,
&#x64;,d,dlower,d,
&#x65;,e,elower,e,
&#x66;,f,flower,f,
&#x67;,g,glower,g,
&#x68;,h,hlower,h,
&#x69;,i,ilower,i,
&#x6a;,j,jlower,j,
&#x6b;,k,klower,k,
&#x6c;,l,llower,l,
&#x6d;,m,mlower,m,
&#x6e;,n,nlower,n,
&#x6f;,o,olower,o,
&#x70;,p,plower,p,
&#x71;,q,qlower,q,
&#x72;,r,rlower,r,
&#x73;,s,slower,s,
&#x74;,t,tlower,t,
&#x75;,u,ulower,u,
&#x76;,v,vlower,v,
&#x77;,w,wlower,w,
&#x78;,x,xlower,x,
&#x79;,y,ylower,y,
&#x7a;,z,zlower,z,
&#x3b1;,α,alphalower,alpha,
&#x3b2;,β,betalower,beta,
&#x3b3;,γ,gammalower,gamma,
&#x3b4;,δ,deltalower,Delta,
&#x3b5;,ε,epsilonlower,epsilon,
&#x3b6;,ζ,zetalower,zeta,
&#x3b7;,η,etalower,eta,
&#x3b8;,θ,thetalower,theta,
&#x3b9;,ι,iotalower,iota,
&#x3ba;,κ,kappalower,kappa,
&#x3bb;,λ,lambdalower,lambda,
&#x3bc;,μ,mulower,mu,
&#x3bd;,ν,nulower,nu,
&#x3be;,ξ,xilower,xi,
&#x3bf;,ο,omicronlower,omicron,
&#x3c0;,π,pilower,pi,
&#x3c1;,ρ,rholower,rho
&#x3c3;,σ,sigmalower,sigma
&#x3c4;,τ,taulower,tau
&#x3c5;,υ,upsilonlower,upsilon
&#x3c6;,φ,philower,phi
&#x3c7;,χ,chilower,chi
&#x3c8;,ψ,psilower,psi
&#x3c9;,ω,omegalower,omega
&#x391;,Αlpha,Alphaupper,Alpha
&#x392;,Beta,Betaupper,Beta
&#x393;,Γ,Gammaupper,Gamma
&#x394;,Δ,Deltaupper,Delta
&#x395;,Εpsilon,Epsilonupper,Epsilon
&#x396;,Ζeta,Zetaupper,Zeta
&#x397;,Eta,Etaupper,Eta
&#x398;,Θ,Thetaupper,Theta
&#x399;,Ιota,Iotaupper,Iota
&#x39A;,Κappa,Kappaupper,Kappa
&#x39B;,Λ,Lambdaupper,Lambda
&#x39C;,Μu,Muupper,Mu
&#x39D;,Νu,Nuupper,Nu
&#x39E;,Ξ,Xiupper,Xi
&#x39F;,Οmicron,Omicronupper,Omicron
&#x3A0;,Pi,Piupper,Pi
&#x3A1;,Rho,Rhoupper,Rho
&#x3A3;,Sigma,Sigmaupper,Sigma
&#x3A4;,Τau,Tauupper,tau
&#x3A5;,Upsilon,Upsilonupper,Upsilon
&#x3A6;,Φ,Phiupper,Phi
&#x3A7;,Chi,Chiupper,Chi
&#x3A8;,Ψ,Psiupper,Psi
&#x3A9;,Ω,Omegaupper,Omega
&#xb1;,±,plusminus,pm
&#x2203;,∃,exists,exists
&#x2200;,∀,forall,forall
&#xf7;,÷,div,div
&#x2208;,∈,in,in
&#x2a09;,⨉,times,times
&#x2026;,…,ldots,ldots
&#x3e;,>,gt,gt
